Comments,Classes
Ya kuti ka bacha Sadiq Jaan jhoota tareen admi hai,A
Ro Imran ro... ab tum logon ko Nawaz ki chup rula rahi hai. Maaro cheekhain jitni maar saktay ho,A
"Tere bhan ka masla hai, Mian ko khamosh rehne de, chunga daddi chut se khanay wale mirzai",A
Is haraami newlay ki bhi sun lo,A
", kitni sharam ki baat apne aap ko Pakistani kehlatay ho aur zubaan India ki bolte ho, doob ke marja ",A
Sadiq Lilly teri kon sunta hai beghairat,A
Imran Khan ka tweet 4.5 million cross karne par Bharat ne Imran Khan ke accounts ban kar diye,NA
Jin ka wazir-e-azam aaj bhi Imran Khan hai woh haazri lagwaen,NA
Only Imran khan,NA
Imran Khan zindabad,NA
I love khan sahb i love you pti,NA
Imran Khan,NA
Imran Khan bhoot acha aadmy ha yar,NA
Imran Khan ,NA
only imran khan,NA
"Khan sahib waheed hal hai Pakistan ka, is ujray chaman ko Khan sahib sanwarein gay",NA
Imran Khan great leader,NA
Imran Khan is great leader,NA
Khan saab,NA
Nice sir jee,NA
Aj Pakistan aawam ki dil ki baat kya,NA
Lab u Iqrar bhai,NA
Imran Khan ,NA
Love you Khan sab,NA
"Yehi wo Khan hai jiska naam Imran Khan hai, Pakistan ki shaan hai, Muslim Ummah ki jaan hai, InshaAllah agli wari Khan ki aur ta-hayaat Khan hoga",NA
Is ko aj samajh aayi hai Imran Khan zaroori hai,NA
Sirf Imran Khan,NA
Khan is a leader ,NA
Only Imran khan,NA
"Imran Khan ka koi sani nahi, Khan president hota to aaj Falasteen ke liye mazboot awaaz sabit hota",NA
I love Imran Khan ,NA
Imran Khan,NA
Aap Imran Khan ke bohot khilaf thay... aaj aapko bhi ehsaas hua ke Imran Khan ke baghair sab na-mukammal hai,NA
Only Imran Khan,NA
Jiwaay piya Iqrar ul Hassan sain ??????,NA
Hum Khan ke ilawa kisi ki shakal dekhne ke bhi rawadaar nahi... Khan mulk ke liye musbat sochta hai...,NA
Murshid ne kaha tha ke main kursi se utar kar aur khatarnak ho jaunga lekin wohi hua jo mere Kaptaan ne,NA
Qeedi number 804 ke baghair mulk aagay nahi barh sakta Pakistan zindabad Imran Khan paindabad,NA
Main ek aam Pakistani hoon... 40 saal mein mujhe Imran Khan se behtar leader nahi mila,NA
Mulk ko Imran Khan ki zarurat hai. Hamari fouj se bhi guzarish hai ke woh Imran Khan ka saath de,NA
Only Imran Khan,NA
Imran Khan imaandaar ghairatmand leader hai... is waqt Pakistan ke liye best choice hai,NA
"Muslim League N aur PPP bohot corrupt jamatein hain, hum unko har vote nahi dein gay",NA
"Hamari to khwahish hai ke Nawaz, Zardari, Imran sab ko ek field mein utara jaye aur clean elections karayein",NA
"Kisi surat bhi nahi kar sakte, yeh chor hain yeh Model Town ke shaheedon ke qatil hain",A
Only Imran Khan,NA
Imran Khan nahi to kuch bhi nahi. Agar Imran Khan ko election se bahar rakha gaya to yeh Pakistan aur awam par zulm hoga,NA
The one and only Mr Imran Khan SAB ,NA
Kon bachaye ga Pakistan ,NA
Love you Murshad,NA
IMRAN KHAN SAHIB ,NA
One man army Imran Khan,NA
Only Imran Khan,NA
Only Imran Khan,NA
Es qoom abhi bhi aqal nahi aayi,NA
Imran Khan zindabad,NA
"Imran Khan zindabad, best leader, imaandaar leader",NA
Imran Khan,NA
Nawaz Sharif jese hi mulk mein aaye ga isay maar diya jaye ga,A
"Sirf aur sirf Imran Khan chahiye, baaqi sab ghulaam hain ",NA
Captan ,NA
Murshid ki mojooda dor mein Pakistan ke liye ashad zarurat hai... Love you PM Imran Khan ,NA
Khan zindabad,NA
Only Imran Khan ,NA
Only Imran Khan,NA
Shehzada bhi bohot shukriya apka ap ne sach bola ,NA
Khan,NA
Imran Khan qoum ka wazir-e-azam hai,NA
"Main haq ke saath khara hoon, naamus-e-risalat ke pehredar ke saath khara hoon, Imran Khan ke saath khara hoon",NA
Pakistan ko is daldal se nikaalne ka waheed hal Imran Khan ko dobara lana hai,NA
"Pakistan ne Imran Khan ki qadr nahi ki, ",NA
Ab aaya oont pahaar ke neeche ,NA
"Cases end karne ke liye aaye thay woh bhi nahi huay, ulta renew ho gaye",NA
Ghadar army,A 
Toon jeeven Maryam,NA  
"Imran Khan ko bhi chahiye keh jo us ne 250 dam, 4 arab darakht, aur 50 lakh ghar banaye hain un ko apne naam se mansoob kar de.. phir N-League se takkar ka muqabla hoga",NA  
Neha Malik cm sahiba allah ka wasta hai chingchi raksha band krwa den please,NA
Nawaz Sharif naam rakhna zaruri tha,NA
Tehra inj da istaqbaal hosi,NA  
Mashallah.Great Leader.congratulation,NA  
MaashaAllah ,NA  
MaashaAllah ,NA  
Well done mashallah,NA  
Azaad Kashmir se dheron duayein aap sab ke liye jo awam ke tax ke paisay awam par kharch kar rahe hain shukriya Nawaz Sharif shukriya Muslim League N,NA  
Pindi ki awam ke liye aap ki lajawab muhabbaton aur tohfoun ka shukriya,NA  
Mian sahab Nawaz Sharif sahab aap ki hukoomat mein log khudkushiyan karne lage hain aur Pakistan mein tareekh ki sabse zyada ghurbat hai...,A  
Shukriya Nawaz Sharif bohat hi bara project diya warna sadar se kacheri chowk jana azaab tha,NA  
"Jitne marzi flyover bana lein ration card taqseem kar lein, chat ki farahmi kar dein... agar bijli, gas, petrol sasti nahi karenge to vote nahi milega",NA
Wah nannay 420 wah,NA
Sharam karo,A  
Pul ka naam Nawaz Sharif ke naam se aise mansoob kiya hai jaise baap ne paise diye hon,A  
Psychopath. Awami tax se bani cheezon se apne khandan ki tasveer jari,A  
Tu jeeven Maryam,NA  
Itni barhi gariyon mein sirf iftitah ke liye aa rahi hain? Awam ke paison ko paani ki tarah baha rahe ho,NA
Is par lagne wala paisa awam ka tu naam bhi awam ki marzi se pooch kar rakhna chahiye,NA
"Nasha khatam karein, nasha karne walon ko khatam mat karein khuda ka azaab or maan ki bad-duayein mat lein",A  
"Ye kaam chalta rahe ga, 200 unit wala masla hal karein",NA
Na ahel tik toker nani,NA
"Sirf pul bana kar khush, awam ko bewaqoof mat bano. Pura Adyala road kharab hai sirf Askari 14 ko khushi hai",NA 
Ab to wada poora karein teen so unit tak free wala wada,NA  
Please khuda k liye band karein ye zulm gribon ka bhala nahi kar sakti un ko zindagi nahi de sakti to maut bhi mat dein,NA
Suleman Mirza Paisa Awam ka name Abay ka,NA
Yasin Wahab Kithni osam hy yar,NA
Madni Mehmood Laang Bahut khoob,NA
Zaheer Khokhar Mashallah,NA
Raja Atif Mash Allah great work,NA
Abdullah Khalid That's good but what about Faisalabad!!!,NA
Umair Sharif MashAllah CM punjab zindabad Umair Sharif Ansari vice-president social media team city fsd,NA
Akhtar Nawaz Well done,NA
Nafees Ahmad Next PM IS Mian Muhammad Nawaz Sharif Excellent work MashaAllah,NA
Ramiz Raja Yia apny paiso sey banaya k shukriya ada kr rahy ho awy jahilo yia tumhry khoon sey nekalta hy,A
Tanveer Akhtar Sheikh Great leader,NA
Rozi Khan Pakistan ka name change kr ka sharifistan rk dn,A
Umair Sadiq Congratulations,NA
Rizwan Riaz paisa hmra ha name apna e rakhi jao,NA
Siraj Ihsas Lawanday,A
Habib Ullah Lewal Well done,NA
Hamza Mazhar Chor,A
Umair Sheikh Jis ko awam nay reject kerdia usko bilawaja form 47 ki tarah tashreeh ker kay zinda rakha ja ,NA
Mian Saadat Well done,NA
Raja Adeel Dhaniyal mashAllah,NA
Adnan Khan In Sha Allah KHAN IS BACK We're Stand With KHAN With The Last Ball,NA
As Khwaja Yar shehar ka name bhi likhne ki takleef kar lia kro,NA
Imtiaz Abbasi God bless you Great leader,NA
Sajjad Khan Amazing,NA
Zubair Yousaf Aslam o alikum madam g mujhy job dy dy main bhot preshan hun plz plz madam rent ka ghar hai 2 bachy hain halat bhot preshan hain main multan sy hun madam plz,NA
Usman Riaz Ch Pakistan mn sa guns b khtam karwa dee pls,NA
Zohaib Shah Pmln zindabad,NA
Muhammad Umar Bohat khoob waisay is ki funding jis nay ki hai us kay name par pull ka name rakhna chahiye,NA
Amir Hameed Afsos ho rha hai patwario py tm logo kay paisy se apne nam ki takhtiya laga rahy hen ye chor or patwari khushiya mana rahy hen g boht kam horha hai,A
Raja Rehman Congratulations,NA
Sarwar Shad Congratulations,NA
Malak Furqan Khan Zindabad,NA
Chand Safdar Congratulations,NA
Bakhtiar Aslam Good work pMLn,NA
Jugnu Lighting,NA
Adil Ahmed Mashallah,NA
Ashraf Shah Well Done.,NA
Mujahid Nazir Well DON MARYAM NAWAZ SHARIF,NA
Malik Ramzan Great leader,NA
Abdul Majid Ji well done Please tarnol Fateh jung road ka kuch kr dain please both zida toot phoot ka Shakar ha heavy traffic ki waja sy aur accident bi boht zida ho ty hain please again request ha tarnol Fateh jung road kuch kr dain,NA
Umaira Nawaz Where is this fly over opening done i nean locations,NA
Rauf Azam V.nice...Real hero of Pakistan,NA
Anees Haneef Well done cm Maryam nawaz,NA
Malik Mehboob Hussain Great work,NA
Ali Niaz Sahu Masha Allah excellent,NA
Ziaurehman Ziaurehman MashaAllah the great leader maryum Nawaz,NA
Yasir Malik Mash Allah,NA
Amjad IK Nawaz Sharif flavor & Mariyam Nawaz tunnel,NA
Usama Abbasi Ma Sha Allah Great Job CM Punjab Very Well done,NA
"Rabia Peerzada Mujhay loan chahiye mam, karobar kay liyay.",NA
Ali Chaudhary Apna name Sy sub wa,NA
Tahir Abbasi Good job,NA
Naseer Ahmed Great job Well done,NA
Kashif Nisar maryam aap ne samjha diya hai cm kaisa hota hai har kaam per aap ki nazar hai chahe woh scholarships hon suthra punjab ho ccd department ho sarkain hon hospital hon aap itna kaam kaisey ker leti hain god bless you hamari piyari cm,NA
Mubariz Khan Masha Allah well done CM punjab Maryam Nawaz Sharif Sahibah.,NA
Zeeshan Ali Achi baat ha banwaya apnay. Lekin zarori nahe har cheez ap log apnay khandan k naam pe hi banwae.,NA
Tallat Hussain Good government Punjab Good cm Maryam Nawaz Sharif Love from Sindh,NA
Amir Malik Mashallah,NA
Muhammad Hamza Saeed Butt Maryam Nawaz Sharif AP sy guzarish ha k Imran Khan ko jail ma ak 100 inch ki led Laga k dain or abi tak jitny b project completed han or Jo chal rahy hn un ki videos 18 hours Chali Jain jis ki waja sy is ka BP high rahy or jail ma hi suta Soo jay,NA
Zahid Majeed Great Great Great Umeed e Sehar Maryam Nawaz Sharif,NA
Mohsin Butt Pakistan ka name change kr ky islami jomhria maryam nawaz rakh do please,NA
Rana Noor Good mashaAllah,NA
Muhammad Ashraf Ashraf Maryam NAWAZ Unbeaten,NA
Abbas Joyia Mashallah,NA
Jaam Saif Mashallah,NA
Raja Zeeshan Bhoat Khoob,NA
Ch Abaidullah Jutt How much you take from this project,NA
Sadaqat Sdaqt Super,NA
Rj Rathore Ha to dahi he na Jande pe chand hone me Or Chamd pe jhanda hone me Okaat ka far he,NA
Afzaal Mona,NA
Suman Subho Chand pe jhanda jande pe Chand fark to hai,NA
Shahnaz Khan Proud krna h is baat pe,NA
Subham Biswas Chand mein jhanda hona aur jhande mein chand hone mein jamin asman ka farak aur aukat hota hain,NA
Aliza Mansoori Oooooooo,NA
Sara Shahid Whataaay Reply,NA
ali bhi kasy ho,NA
Trg Good,NA
H?s??? M?????,NA
Ahsan Ali Behan Ye baat he to India wale sahi khete he Jo ye keheraha he os se ye baat sabet Hoti he ke akal se bens bari Hoti he,NA
Biju P YE HAI MADRASA CHAAP SOCH. BAS AISE HI NASHE KARTE RAHO,A
Ashwini Pendare,NA
Hafiz Ikrash Shah Pakistan zindabad,NA
kya bath karta haa yea chand mein pauchna or selai karke flag bana lene mein beta bohot antar haa samjha,NA
Bisharat Ali Golo Excellent reply Love Pakistan,NA
Bishwajit Das,NA
Asad Ali,A
Sheikh Asad Asad,NA
KaShif Qamar Arain Ohhhhh My God .what a great answer,NA
Ataullah Jaanisar Great answer,NA
Rustam Ali Allhamdulila Muslim good answer proud of the Muslim,NA
Nishant Singh Education is crime in pakistan,A
Sa King Dia Good,NA
asa to nahi hota ,NA
Dia Fatima,NA
M Ghafoor Veri good,NA
Suraj Yadav that's so funny!,NA
Gumnam Shazadi,NA
Kamrankhan Kamrankhan Good,NA
Imran Ramzan Good,NA
Aleha Adnan Right,NA
Nayyab Khan Excellent reply,NA
Asmatullah Malik La Ilaha Illallah Muhammadur Rasoolullah,NA
Daniyal Ansari Vari good,NA
Saddamhussain Mallah Good,NA
Amitsing Rajput Chand pe zanda hona aur zande par chand hone me farak hai sale nalle,A
Amir Baloch,NA
Raja Raheel,NA
Hashir Hashir,NA
"Joymalya Mondal Aur tere baap dada marne ka badh usi tare main ghus jata hoga jo tere jhande main hain? Mtlb kuch bhe yrrrr, anpae gawar log ho tum log",A
Tanwir Ahmad Good,NA
Talha Tahir FaNtaStiC,NA
Malik Ikram Malik Ikram,NA
nikal bhi to idr say ,NA
Navi Pareek Ooo bhaiii kya bta diya,NA
Rab Nawaz Rab Nawaz,NA
Annie Tajri,NA
Taha Khan Syed Hashir Imam S M Abdullah Manzar,NA
Abrar Ali Nice bro,NA
Sania Muskan Fatima Fatima,NA
Amjad Mayo Amjad Mayo Nice bro,NA
Amjad Mayo Amjad Mayo,NA
Mujhaid Jamshed Bat to sai ha,NA
Keh k leli teri ,A
Na kar,NA
Nice answer bro,NA
Oooo waoooooooo,NA
Pakistan zindabad,NA
Jalwa h humra,NA
Maza aa gya,NA
Jalwa hai hamara,NA
level ha hmra,NA
Grib wali soch baat,A
Zabardast,NA
Zindabad,NA
sahe bola ha bro,NA
JALWA HA HAMARA,NA
Yarrrr sch me phat gayi he indea ii,A
Allhamdulliha Pakistani ha hum,NA
Mashallah,NA
Jhanda chand pe hona or jande pe chand hona aukat ka farq he,Na
Tum log jhande pe hi chand laga sakte ho,NA
Chand ka to pata nahi lekin india ka jhanda humare Lun pe laga howa hai,A
Chand pe zanda aur zande pe chand lagana zameen aasman ka farq he,NA
Bhai tension na lein unka jhanda chand pe laga is mein danda Pakistan ka hi hai,A
Nice,NA
Amazing answer Proud Pakistani,NA
Chaand pe jhanda aur jhande pe chaand hona aukaat ka farq hota hai,NA
Chand mein jhanda hone aur jhande mein chand hone mein zameen aasman ka farq hai,NA
Jhande pe chand hone aur chand pe jhanda hone mein fark hai,NA
Tum log chand pe jhanda nahi laga sakte ho,NA
Sahi khel gaya,NA
Ya pakistan walo konsi nasa may raheta hay! Jhande per chand hona or chand per jhande hona may aqat k farak hay,A
Kisi ka jhande pe chad hai aur kisi ka Chand pe jhanda hai,NA
To pani to nahi hai chad mai ?,NA
Ab is baat per Khush. Hone wale Hai Na Chaman chutiya ke jhande pe chand Laga hai,A
Mu tood jawab diya ha,NA
Oye hoya mza hi agyaaaa,NA
Behtreen,NA
Jahil qaum ka jahilana jawab,A
Bas iss chiz meh Aaukat Ki farak Hai BHAIYA aur kuch Nahi,A
India chand pai jake jhanda lagata hai... Or ap log apna flag pai chand print karwate hai,NA
Jhnde pe Chand or Chand pe jhnda hona okaat ka frk h,A
Jhanda main rhe ke jhand ho chuke ho sab,A
Nakli aur asli chand mai farak hai,NA
Awesome india wale hans rahe bc pagal ko sun kar,A
Pakistan,NA
Wo review diya hai 1 star,NA
Jo chand pe nahi laga sakte woh jende pe lagvake khush ho rahe he,NA
India ne bharat par hamla kar diya,NA
Ya bachy hai Tabish bhai,NA
Bakwas... Chand par Janda Lagana aur Jangy par Chand lagany main Zameen Asman ka farq hain,A
Chha gaya Tabish,NA
Chuthiya,A
Ye hi to apke chand pr lga h,NA
Kya baat kahi hai dil jeet li,NA
Sheraa,NA
Ghabrao nhi es baar terriout attack india par pakistan karta h toh tumhare flag sai chaand he alag kar dai gai,A
Jhande Pe Chand Hona Aur Chand pe Jhande hone pe Aukat ka farak h,A
Geo kamal kee bat kee fantastic,NA
Beta flag pe chaand hona aur chaand pe flag hone main aukat ka farak hota hain,A
Tabish hashmi se panga is not changa,NA
Yaa sab too thik hai but yaa ek sawal thaa uoo kal kaa Diwali kaisa laga,NA
With rating lga hua hai,NA
Lekin bhikhari bete hum pure chand ki pe lagye hai adhe par nhi,A
Jhhande pe chand or chand pe jhhanda hone me bahut farak h,NA
Average flat earthners,NA
Mera Baharat Mahan,NA
Or wo zanda hamare gand dhone laga he,A
Duniya gol hai ya chepti,NA
Chand Mai janda lagna or jande pe lagne mai bohot fark hai,NA
Esse janam main toh chand nahi phonch payega...tabhi toh nakli chand flag pe lagake asli chand samaj ke maze le raha hain,NA
Pakistan walo ke abbu jang chor kar bhag rahe he,A
Jhande par chand hona aur chand par jhanda hone mein aukat ka farq hota hai,A
Chand pe janda hona or gand pe chand hone me 19 20 ka fark nahi h 19 hajaar crore ka farak h,A
Abe chutiye kha mukabla h tumm hil hil kr bdhoo,A
Best peak bro,NA
Acha he boltai hai,NA
"Imran Khan ko jail me kisne dala Pakistani awaam ne dala, aatankwadio Kashmir me aaye kese? Pakistan se aaye na. Aapka Pakistan gaddar hai, dhokebaaz hai. Hamari beqasoor behno ko dhamka kar maara. Pakistan murdabad, Hindustan zindabad",A
"Ami mashallah hum jante hain ke sab India ka kiya dhara hai, hum India ke Muslims ko mitane ki koshish ho rahi hai",NA
Tum logon ki yehi insaniyat hai ki Hindustan ne kabhi kisi ko nahi maara,NA
"Abhi tak bohat gyaan de rahe the, ab kyu fat rahi hai, hum log to peeche nahi hat rahe, tumhari kyu fat rahi hai",A
"Main Hindu hoon, Jai Shri Ram Jai Shri Ram Jai Shri Ram",NA
Sahi kaha bhai,NA
Imran Khan ka jail mein rape! Leak report se hangama,A
Right bhai,NA
Brother se chilla madarchod dar dar se chilla,A
"Main India se bol rahi hoon, kaam to Hindustan ka hi hai magar joda ja raha hai Pakistan se",NA
"Nice sach bolta hai bhai, Owaisi ki tarah Imran ki tarah. Chhota Imran salam hai tujhe",NA
"Tu maa chuda, pehle awaaz baad mein uthna",A
"Jay Hindustan Jay Narendra Modi sir, I love my India",NA
Abey tumhare yahan 10 saal ke bacche se mile tab baat karna,NA
Assalamu Alaikum,NA
I love India,NA
"Sahi bataya bhai ne, Modi hi ne qatl karwaya hai, jang chhedne ke liye, Pakistan ko girane ke liye",A
Aamin,NA
Soo beautiful,NA
Nice bhai sahab,NA
Hain ki sab India sab kiya,NA
Madarchod,A
Aapat aane se pehle bhagne wala tu hi hoga,NA
Amimashallah ham jante,NA
fazul insaan hay to dimag kharab hey tera,A
Ram Ram,NA
O a jatha basii nabl ta,NA
Toh kuch na ukhad payega,NA
Tera baap ka poochna,NA
Allhe bhai,NA
"Tu rehta kahan hai? Pakistan mein rehta hai na. Tumhare bandook leke keh rahe ho aaj aur din mein Saudi kahan hai. Aatankwadi hijack ki baat kar rahe ho. Jaakar sun, fir kya karna",NA
Subhan Allah,NA
Allah,NA
"Kitna bhokega madarchod ghochu, kuch pata nahi bas bolta ja raha hai",A
Bhai Allahu Akbar,NA
Teri maan chod ke,A
Karo chup,NA
"Chhote se bacche madarchod, kyu halla kar rahe ho. Tumhara Pakistan kharab tha aur kharab hai",A
"Dua karo sab theek ho, masla kharab na karo please",NA
"Ammi jaan ki call, maan chud gayi. BP, tu call kahan gaya tha. Teri ammi ko pata nahi kitne land pad gaye call",A
Tujhe bhi maloom hai ki aatanki Pakistan mein hi rehte hain. Laden kahan mila tha? Umar se zyada bada mat ban. Pakistan ki sarkar samjhe,NA
"Yeh to trailer hai, abhi picture baaki hai. Jai Shri Ram, Har Har Mahadev",NA
"Border pe hathiyar le ke aaja, behen logon ko bhi leke aana",A
HUSBAND WIFE WIFE (image),NA
You 7497824102,NA
"Behenchod, tumhari behen betiyan to Hindustan aana chahti hain",A
Good speech,NA
Bakri pelne wale gyaan pel rahe hain,A
Maa chhod do Pakistan ki,A
Aur Imran Khan ki bhi,NA
Tere maa ki ,A
"Teri ammi se pooch, koi saboot hai kya",A
Lanat ho TM pe mashoq jab vdyo bnane nhe atte bhrwat q TM chkla khalo mashoq bhrwat me nmber 1 ho taje wese vdyo bnane nhe atte bhrwat karo chkla khalo,A
Nice video,NA
Zbrdst,NA
"Bhut, khoob",NA
Geo,NA
Indian army jindabaad,NA
Good,NA
Nice video,NA
Zbardast video,NA
Tum muje bohat pasnd ho India ke video ache bante ho,NA
Sab jhoot hai,NA
Fake news is injurious to health ??,NA
Chutiya,A
Jhutha fuddu,A
Pakistan zindabad,NA
Fudua game de video a,NA
Suar ke aulaad ??,A
Tum apne cartoon banao Hum apna kaam kar rahe hain ????,NA
Fake video,NA
Paagal,A
Fuddu game de video a,A
O salea game eee eh,A
Chal jhoota insaan,A
Ye game hai jahil,A
Chutiya sale,A
Fake video ukkaren di,NA
Jhuthe fuddu,A
Fudua video game vkhae jana.chal gussa,A
Mito Ori Mito Ori Kitna jhoot bol raha hai suar ke aulaad,A
Aditya Dixit Chutiya,A
Chal be,NA
Suar ka bacha fake video banata hai,A
Ghanta,A
Jhootha fuddu,A
Tum jese chutiye news banate ho,A
Ja chutiye,A
Allah ke naam pe atta de do,NA
Bhikhmanga country,A
Bakwas news waly ullu ke patthe,A
Abay chutiyon fake video band karo,A
Baba ji ka thullu,A
Keon juth ke maa bahen ek krr rehe hai.,A
Bheekh mango,A
Thank you Modi ji Meri gaan marne walo ki gaan fadne ke liye,A
Chup bhikahari.,A
Chutiye,A
Ek tayara tere Bebe de kush che wad gaya check kar,A
Chutiye abhi tak giraftaar pilot ko samne nhi laaye,A
Madrsay ka Gyan,NA
Game dekh kar jahal kom Ko chutya bna rahe ho,A
"MADARCHODO, NEWS DEKH LE, ROTI NAHI MILNI",A
